player_id,player_name,position,team(s),league_position,country,league,season,minutes_played,FTE_games_played,games_started,full_games_played,games_subbed_on,games_subbed_off,goals,assists,contribution_ols,contribution_ols_std,ridge_contribution_alpha_10_0,ridge_contribution_alpha_10_0_std,lasso_contribution_alpha_0_001,lasso_contribution_alpha_0_001_std,lasso_contribution_alpha_best,lasso_contribution_alpha_best_std,partialled_lasso_contribution_alpha_best,partialled_lasso_contribution_alpha_best_std,partialled_contribution_ols,partialled_contribution_ols_std,partialled_ridge_contribution_alpha_10_0,partialled_ridge_contribution_alpha_10_0_std,partialled_lasso_contribution_alpha_0_001,partialled_lasso_contribution_alpha_0_001_std,is_pooled_member,pooled_group_key,other_players_same_minutes,pooled_members,total_regular_games,valid_regular_games,missing_games_count,no_observations,is_pooled_estimate
1159,M. Sabitzer,M,"Multiple Teams (Bayern Munich, RB Leipzig)",Multiple Teams,Germany,Bundesliga,2021,912.0,10.295,8,1,19,7,1,1,2.23,0.726,-0.0307,0.187,-0.0557,0.266,-0.0303,0.31,-0.123,0.0907,2.23,0.726,-0.0724,0.185,-0.127,0.068,False,,,1159,306,306,0,False,False
162887,Unknown,Unknown,VfB Stuttgart,15,Germany,Bundesliga,2021,37.0,0.417,0,0,6,0,0,1,2.17,0.851,0.808,0.452,0.0,0.266,0.257,0.31,0.0154,0.0907,2.17,0.851,0.808,0.448,0.0,0.068,False,,,162887,306,306,0,False,False
181812,J. Musiala,M,Bayern Munich,1,Germany,Bundesliga,2021,1426.0,16.071,12,5,18,7,5,5,2.16,0.686,0.107,0.175,0.0497,0.266,0.107,0.31,0.0,0.0907,2.16,0.686,0.0521,0.173,0.0,0.068,False,,,181812,306,306,0,False,False
7197,A. Andrade,D,Arminia Bielefeld,17,Germany,Bundesliga,2021,1047.0,11.596,12,9,5,3,0,0,2.07,0.827,0.647,0.241,0.491,0.266,0.543,0.31,0.0204,0.0907,2.07,0.827,0.673,0.239,0.0,0.068,False,,,7197,306,306,0,False,False
88008,Unknown,Unknown,Hertha Berlin,16,Germany,Bundesliga,2021,20.0,0.225,0,0,1,0,0,0,2.04,1.03,0.898,0.493,0.0,0.266,0.0,0.31,0.0,0.0907,2.04,1.03,0.913,0.489,0.0,0.068,False,,,88008,306,306,0,False,False
152418,Unknown,Unknown,VfB Stuttgart,15,Germany,Bundesliga,2021,60.0,0.665,0,0,3,0,0,0,2.01,0.882,0.707,0.419,0.0,0.266,0.194,0.31,0.0,0.0907,2.01,0.882,0.694,0.416,0.0,0.068,False,,,152418,306,306,0,False,False
511,L. Goretzka,M,Bayern Munich,1,Germany,Bundesliga,2021,1394.0,15.574,19,8,0,11,3,3,2.01,0.713,-0.227,0.226,-0.114,0.266,-0.0787,0.31,-0.117,0.0907,2.01,0.713,-0.235,0.224,-0.102,0.068,False,,,511,306,306,0,False,False
508,K. Coman,M,Bayern Munich,1,Germany,Bundesliga,2021,1364.0,15.192,16,4,5,12,6,2,1.91,0.688,-0.0637,0.192,0.0,0.266,0.0,0.31,-0.0964,0.0907,1.91,0.688,-0.136,0.191,-0.0672,0.068,False,,,508,306,306,0,False,False
275,E. Choupo-Moting,M,Bayern Munich,1,Germany,Bundesliga,2021,348.0,3.844,1,0,19,1,4,2,1.83,0.704,-0.133,0.237,-0.158,0.266,-0.173,0.31,-0.065,0.0907,1.83,0.704,-0.196,0.235,-0.0622,0.068,False,,,275,306,306,0,False,False
162502,M. Lotka,G,Hertha Berlin,16,Germany,Bundesliga,2021,872.0,9.787,9,9,1,0,0,0,1.82,4.72,-0.0121,0.193,0.0,0.266,0.0,0.31,0.0,0.0907,2.07,4.72,0.0258,0.192,0.0,0.068,False,,,162502,306,306,0,False,False
